id,mu,lambda,mut_prob,cx_prob,HV
3156,228,335,0.3948454847559333,0.6051545152440667,3.046
3157,428,440,0.3948454847559333,0.6051545152440667,3.1725
3158,428,630,0.6647706627845764,0.3352293372154236,3.2462
3159,228,234,0.6647706627845764,0.3352293372154236,2.8831
3160,506,1447,0.5889293933287263,0.4110706066712737,4.0015
3161,303,867,0.5889293933287263,0.4110706066712737,3.3307
3162,506,1238,0.5889293933287263,0.4110706066712737,3.4865
3163,506,1447,0.5796238388866186,0.4203761611133814,3.289
3164,303,741,0.5796238388866186,0.4203761611133814,3.3972
3165,622,1155,0.4496577410027385,0.5503422589972615,3.353
3166,871,1618,0.4496577410027385,0.5503422589972615,3.7929
3167,622,844,0.4496577410027385,0.5503422589972615,3.3527
3168,622,1155,0.24207534920424223,0.7579246507957578,3.5735
3169,871,1183,0.24207534920424223,0.7579246507957578,3.5876
3170,933,2041,0.9352215081453323,0.06477849185466766,3.5467
3171,192,420,0.9352215081453323,0.06477849185466766,3.2677
3172,933,1622,0.9352215081453323,0.06477849185466766,3.7266
3173,933,2041,0.4726529410108924,0.5273470589891076,3.426
3174,192,333,0.4726529410108924,0.5273470589891076,3.2383
3175,106,128,0.0417859498411417,0.9582140501588583,1.8071
3176,759,922,0.0417859498411417,0.9582140501588583,2.9742
3177,106,273,0.0417859498411417,0.9582140501588583,2.3651
3178,106,128,0.81795241124928,0.18204758875072002,2.5943
3179,759,1959,0.81795241124928,0.18204758875072002,3.6675
3180,178,409,0.3740373533219099,0.6259626466780901,3.5314
3181,561,1290,0.3740373533219099,0.6259626466780901,3.3432
3182,178,527,0.3740373533219099,0.6259626466780901,3.2287
3183,178,409,0.7384345829486847,0.2615654170513153,3.5113
3184,561,1663,0.7384345829486847,0.2615654170513153,3.569
3185,776,1006,0.7269325144588947,0.27306748554110527,3.3501
3186,112,145,0.7269325144588947,0.27306748554110527,2.8329
3187,776,1451,0.7269325144588947,0.27306748554110527,3.8278
3188,776,1006,0.08033089060336351,0.9196691093966365,3.2348
3189,112,209,0.08033089060336351,0.9196691093966365,1.975
3190,731,1919,0.15012118872255087,0.8498788112774491,3.5996
3191,925,2429,0.15012118872255087,0.8498788112774491,3.3527
