,mu,lambda,prob,HV
438,281.469727,2.67163086,0.195800781,0.1325723971831252
439,178.49121094,1.13110352,0.19580078,0.1086653286932637
440,222.094727,0.952880859,0.158691406,0.0643760108038247
441,475.366211,0.952880859,0.158691406,0.0957845202636132
442,222.094727,2.84985352,0.158691406,0.1728280984095785
443,222.094727,0.952880859,0.00830078125,0.1005522717578372
444,475.366211,2.84985352,0.00830078125,0.1575370010723495
445,697.094727,2.20288086,0.658691406,0.1572666965702345
446,950.366211,2.20288086,0.658691406,0.5113635248521438
447,697.094727,1.59985352,0.658691406,0.2228780713367322
448,697.094727,2.20288086,0.508300781,0.2046243110503504
449,950.366211,1.59985352,0.508300781,0.2191361112975864
450,934.594727,1.57788086,0.408691406,0.1085694629898293
451,237.86621094,1.57788086,0.40869141,0.1521308277640107
452,934.594727,0.974853516,0.408691406,0.1756411262648868
453,934.594727,1.57788086,0.758300781,0.2343232831672928
454,237.86621094,0.97485352,0.75830078,0.1419002734021817
455,459.59472656,2.82788086,0.90869141,0.4696585817064472
456,712.86621094,2.82788086,0.90869141,0.3803606270787005
457,459.59472656,2.22485352,0.90869141,0.2522903772365744
458,459.594727,2.82788086,0.258300781,0.1283623467589017
459,712.866211,2.22485352,0.258300781,0.1422845057170425
460,340.84472656,1.26538086,0.53369141,0.1007746648665753
461,594.116211,1.26538086,0.533691406,0.2343159775843823
462,340.84472656,1.91235352,0.53369141,0.1819274806080974
463,340.844727,1.26538086,0.133300781,0.0547416335627328
464,594.116211,1.91235352,0.133300781,0.1544778605601158
465,815.844727,2.51538086,0.0336914062,0.2395951281909211
466,119.116211,2.51538086,0.0336914062,0.021838426614712
468,815.844727,2.51538086,0.633300781,0.2378282654730584
469,119.11621094,0.66235352,0.63330078,0.1133483967712148
472,578.34472656,1.28735352,0.78369141,0.2459915688928363
474,831.61621094,1.28735352,0.88330078,0.4540452723190348
475,103.34472656,1.89038086,0.28369141,0.1215485657445438
476,356.616211,1.89038086,0.283691406,0.1486746116920041
477,103.34472656,2.53735352,0.28369141,0.1629770837986776
478,103.34472656,1.89038086,0.38330078,0.1074561987795733
479,356.61621094,2.53735352,0.38330078,0.1333752966520673
480,88.5009766,1.14819336,0.0805664062,0.0643824126926821
481,193.334961,1.14819336,0.0805664062,0.1198438520030848
482,88.5009766,0.623291016,0.0805664062,0.0473509982212781
483,88.50097656,1.14819336,0.27392578,0.0321202299218527
484,193.33496094,0.62329102,0.27392578,0.0969254849998118
485,563.50097656,2.39819336,0.58056641,0.3898096952814519
486,668.334961,2.39819336,0.580566406,0.3231336577030746
487,563.50097656,1.87329102,0.58056641,0.2416158237763185
488,563.50097656,2.39819336,0.77392578,0.2929797937816463
489,668.33496094,1.87329102,0.77392578,0.1226839346529961
492,801.000977,2.49829102,0.330566406,0.3860963434331116
494,430.83496094,2.49829102,0.52392578,0.3401186104374835
495,326.00097656,1.77319336,0.83056641,0.1682841252287653
496,905.834961,1.77319336,0.830566406,0.3864450827787425
497,326.00097656,1.24829102,0.83056641,0.1758809794238941
498,326.000977,1.77319336,0.0239257812,0.0509916071270687
499,905.834961,1.24829102,0.0239257812,0.0873601946581428
500,444.75097656,0.83569336,0.70556641,0.1023990365829821
501,787.084961,0.835693359,0.705566406,0.1473185283080074
502,444.75097656,1.56079102,0.70556641,0.2118260196605073
503,444.750977,0.835693359,0.398925781,0.1937808988793843
504,787.084961,1.56079102,0.398925781,0.1476224002550771
505,919.750977,2.08569336,0.205566406,0.4312490525213702
506,312.084961,2.08569336,0.205566406,0.1293151427376579
507,919.750977,2.81079102,0.205566406,0.2367860613258119
508,919.750977,2.08569336,0.898925781,0.3928523704277148
509,312.08496094,2.81079102,0.89892578,0.2686518093419051
510,682.25097656,1.46069336,0.95556641,0.2508210443692874
511,549.58496094,1.46069336,0.95556641,0.3223910340760978
512,682.25097656,2.18579102,0.95556641,0.644964487320669
513,682.250977,1.46069336,0.648925781,0.2621864626403722
514,549.58496094,2.18579102,0.64892578,0.1279836084327121
515,207.25097656,2.71069336,0.45556641,0.1673850433211075
