index,pf_size,geno_size,canon_size,red_dup,red_sim,red_total
266,200,109,58,0.45499999999999996,0.4678899082568807,0.71
267,184,148,106,0.19565217391304346,0.28378378378378377,0.42391304347826086
268,184,103,41,0.4402173913043478,0.6019417475728155,0.7771739130434783
269,200,163,105,0.18500000000000005,0.35582822085889576,0.475
270,659,516,200,0.21699544764795142,0.6124031007751938,0.6965098634294385
271,675,545,226,0.19259259259259254,0.5853211009174312,0.6651851851851852
272,659,495,213,0.24886191198786034,0.5696969696969697,0.6767830045523521
273,659,373,162,0.43399089529590285,0.5656836461126005,0.7541729893778453
274,675,411,185,0.3911111111111111,0.5498783454987834,0.7259259259259259
275,897,540,262,0.39799331103678925,0.5148148148148148,0.7079152731326644
276,438,198,78,0.547945205479452,0.6060606060606061,0.821917808219178
277,897,463,228,0.48383500557413606,0.5075593952483801,0.745819397993311
278,897,596,188,0.33556298773690074,0.6845637583892618,0.79041248606466
279,438,293,137,0.33105022831050224,0.5324232081911262,0.687214611872146
280,422,294,154,0.3033175355450237,0.47619047619047616,0.6350710900473934
281,913,602,231,0.3406352683461117,0.6162790697674418,0.7469879518072289
282,422,284,149,0.3270142180094787,0.47535211267605637,0.6469194312796209
283,422,341,146,0.19194312796208535,0.5718475073313782,0.6540284360189573
284,913,740,190,0.1894852135815991,0.7432432432432432,0.791894852135816
285,303,250,148,0.17491749174917492,0.40800000000000003,0.5115511551155115
286,794,682,237,0.1410579345088161,0.6524926686217009,0.7015113350125944
287,266,224,79,0.1578947368421053,0.6473214285714286,0.7030075187969924
288,303,214,112,0.29372937293729373,0.47663551401869164,0.6303630363036303
289,778,470,185,0.39588688946015427,0.6063829787234043,0.7622107969151671
290,319,230,157,0.27899686520376177,0.31739130434782614,0.5078369905956113
291,778,535,218,0.3123393316195373,0.5925233644859813,0.7197943444730077
292,778,414,151,0.467866323907455,0.6352657004830917,0.8059125964010283
293,319,200,120,0.3730407523510971,0.4,0.6238244514106583
294,541,412,157,0.23844731977818856,0.6189320388349515,0.7097966728280961
295,557,420,157,0.24596050269299818,0.6261904761904762,0.718132854578097
296,541,385,154,0.28835489833641403,0.6,0.7153419593345656
297,541,384,128,0.2902033271719039,0.6666666666666667,0.7634011090573013
298,557,428,217,0.23159784560143626,0.4929906542056075,0.6104129263913824
299,66,55,52,0.16666666666666663,0.054545454545454564,0.21212121212121215
